OBJECTID,FIXED_PHARMACY,FIXED_ADDRESS,ZIPCODE,PHONE,HPV,T_DAP,OTHERS_BY_REQUEST,MENINGITIS,PNEUMOCOCCAL,WHOOPING_COUGH,TETANUS,MMR,PNEUMONIA,SHINGLES,INFLUENZA,HEPATITIS_A,HEPATITIS_B,NALOXONE_PROVIDER,INTRANASAL_NALOXONE,NALOXONE_INJECTOR,NALOXONE_TABLET,TOBACCO
1,18th Street Apothecary,113 S 18TH ST,19103,(215) 564-0900,,,,,,,,,,,,,,YES,YES,,,
2,26th & Lehigh Pharmacy,2602 W LEHIGH AVE,19132,(267) 687-2702,,,,,,,,,,,,,,YES,YES,,,
3,29th Street Pharmacy,2334 N 29TH ST,19132,(215) 309-3866,,,,,,,,,,,,,,YES,YES,,,
4,65th & Woodland Pharmacy,6548 WOODLAND AVE,19142,(215) 727-9501,,,,,,,,,,,,,,YES,YES,,,
5,8th Street Pharmacy,819 S 8TH ST,19147,(215) 592-8888,,,,,,,,,YES,YES,YES,,,YES,YES,,,
6,A & F PHARMACY,3200 FRANKFORD AVE,19134,(215) 425-5881,,,,,,,,,,,,,,YES,YES,,,
7,9th & Girard Pharmacy,901 W GIRARD AVE,19123,(215) 235-8800,,,,,,,,,,,,,,YES,YES,,,
8,A Plus Pharmacy,13023 BUSTLETON AVE,19116,(267) 731-6163,,,,,,,,,,,YES,,,YES,YES,,,
9,A & W PHARMACY,2623 E WESTMORELAND ST,19134,(215) 426-4100,,,,,,,,,,,,,,YES,YES,,,
10,Academy Pharmacy,10101 ACADEMY RD,19114,(215) 632-2121,,,,,,,,,,,,,,YES,YES,,,
11,ACME Pharmacy,180 W GIRARD AVE,19123,(215) 574-1221,,,,,,,,,,,,,,YES,YES,,,
12,ACME Pharmacy #3,7700 CRITTENDEN ST,19118,(215) 248-6495,,,,,,,,,,,,,,YES,YES,,,
13,ACME Pharmacy #2,2101 COTTMAN AVE,19149,(215) 728-1015,,,,,,,,,,,,,,YES,YES,,,
14,Acme Sav-on Pharmacy,1901 JOHNSTON ST,19145,(215) 336-5553,,,,,,YES,,,YES,,YES,,,YES,YES,,,
